NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 01/01/1988 through 12/31/2004
Location: Latitude 34   Longitude -121
Elevation (meters): Average for one degree lat/lon region = 204   Site = na
Climate zone: 3 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day) 

YEAR MO DY swv_dwn
1989 12 05    3.34
1989 12 06    3.31
1989 12 07    3.25
1989 12 08    3.19
1989 12 09    3.07
1989 12 10    2.90
1989 12 11    3.53
1989 12 12    3.21
1989 12 13    2.15
1989 12 14    3.49
1989 12 15    2.73
1989 12 16    3.30
1989 12 17    3.18
1989 12 18    1.17
1989 12 19    3.17
1989 12 20    3.19
1989 12 21    2.73
1989 12 22    3.37
1989 12 23    3.26
1989 12 24    3.20
1989 12 25    2.83
1989 12 26    1.92
1989 12 27    1.92
1989 12 28    2.88
1989 12 29    3.35
1989 12 30    3.37
1989 12 31    3.17
1990 01 01    2.78
1990 01 02    2.84
1990 01 03    3.43
1990 01 04    3.46
1990 01 05    3.46
1990 01 06    3.51
1990 01 07    3.23
1990 01 08    3.38
1990 01 09    3.53
1990 01 10    2.61
1990 01 11    2.70
1990 01 12    1.32
1990 01 13    1.91
1990 01 14    2.92
1990 01 15    2.77
1990 01 16    2.24
1990 01 17    3.56
1990 01 18    3.71
1990 01 19    3.22
1990 01 20    3.70
1990 01 21    4.03
1990 01 22    3.72
1990 01 23    3.84
1990 01 24    3.92
1990 01 25    3.97
1990 01 26    3.64
1990 01 27    4.25
1990 01 28    4.22
1990 01 29    4.19
1990 01 30    2.03
1990 01 31    4.03
1990 02 01    3.75
1990 02 02    4.22
1990 02 03    3.66
1990 02 04    4.00
1990 02 05    4.26
1990 02 06    2.72
1990 02 07    4.52
1990 02 08    4.44
1990 02 09    4.41
1990 02 10    4.54
1990 02 11    3.33
1990 02 12    2.99
1990 02 13    4.79
1990 02 14    5.09
1990 02 15    4.83
1990 02 16    2.14
1990 02 17    3.00
1990 02 18    4.39
1990 02 19    5.13
1990 02 20    4.23
1990 02 21    3.22
1990 02 22    4.67
1990 02 23    4.76
1990 02 24    4.08
1990 02 25    3.80
1990 02 26    3.59
1990 02 27    3.13
1990 02 28    1.83
1990 03 01    2.64
1990 03 02    2.25
1990 03 03    3.41
1990 03 04    4.38
1990 03 05    5.27
1990 03 06    5.82
1990 03 07    5.05
1990 03 08    4.71
1990 03 09    4.50
1990 03 10    3.93
1990 03 11    5.64
1990 03 12    5.76
1990 03 13    5.94
1990 03 14    6.09
1990 03 15    6.24
1990 03 16    4.72
1990 03 17    5.76
1990 03 18    5.03
1990 03 19    5.44
1990 03 20    6.20
1990 03 21    5.42
1990 03 22    6.22
1990 03 23    5.44
1990 03 24    3.10
1990 03 25    5.19
1990 03 26    6.19
1990 03 27    2.94
1990 03 28    2.54
1990 03 29    5.49
1990 03 30    5.96
1990 03 31    5.72
1990 04 01    4.17
1990 04 02    5.10
1990 04 03    4.89
1990 04 04    6.02
1990 04 05    4.08
1990 04 06    5.25
1990 04 07    5.57
1990 04 08    7.26
1990 04 09    7.42
1990 04 10    6.40
1990 04 11    7.41
1990 04 12    7.43
1990 04 13    5.68
1990 04 14    4.68
1990 04 15    6.05
1990 04 16    3.68
1990 04 17    7.32
1990 04 18    6.06
1990 04 19    4.98
1990 04 20    7.52
1990 04 21    6.69
1990 04 22    5.75
1990 04 23    5.00
1990 04 24    7.78
1990 04 25    7.94
1990 04 26    8.03
1990 04 27    7.92
1990 04 28    6.16
1990 04 29    8.33
1990 04 30    8.04
1990 05 01    8.62
1990 05 02    7.61
1990 05 03    6.04
1990 05 04    5.29
1990 05 05    7.78
1990 05 06    6.45
1990 05 07    7.55
1990 05 08    6.96
1990 05 09    5.71
1990 05 10    6.36
1990 05 11    5.73
1990 05 12    7.74
1990 05 13    7.09
1990 05 14    6.18
1990 05 15    7.05
1990 05 16    5.76
1990 05 17    6.35
1990 05 18    7.07
1990 05 19    7.66
1990 05 20    8.65
1990 05 21    5.05
1990 05 22    7.27
1990 05 23    5.77
1990 05 24    8.86
1990 05 25    8.50
1990 05 26    8.47
1990 05 27    2.14
1990 05 28    7.46
1990 05 29    8.65
1990 05 30    7.78
1990 05 31    7.74
1990 06 01    8.69
1990 06 02    8.86
1990 06 03    8.67
1990 06 04    8.81
1990 06 05    8.65
1990 06 06    8.11
1990 06 07    8.81
1990 06 08    8.45
1990 06 09    3.09
1990 06 10    7.16
1990 06 11    8.86
1990 06 12    8.61
1990 06 13    7.22
1990 06 14    7.93
1990 06 15    7.75
1990 06 16    8.01
1990 06 17    6.07
1990 06 18    8.34
1990 06 19    6.70
1990 06 20    6.87
1990 06 21    5.48
1990 06 22    6.54
1990 06 23    6.32
1990 06 24    5.88
1990 06 25    7.75
1990 06 26    8.42
1990 06 27    8.54
1990 06 28    8.39
1990 06 29    6.17
1990 06 30    6.72
1990 07 01    6.70
1990 07 02    8.67
1990 07 03    7.25
1990 07 04    8.60
1990 07 05    8.14
1990 07 06    7.35
1990 07 07    6.48
1990 07 08    5.78
1990 07 09    7.57
1990 07 10    6.07
1990 07 11    7.19
1990 07 12    7.62
1990 07 13    6.84
1990 07 14    5.68
1990 07 15    5.48
1990 07 16    5.77
1990 07 17    7.79
1990 07 18    7.98
1990 07 19    6.91
1990 07 20    5.79
1990 07 21    5.57
1990 07 22    4.96
1990 07 23    5.17
1990 07 24    6.13
1990 07 25    6.13
1990 07 26    6.82
1990 07 27    6.46
1990 07 28    5.67
1990 07 29    5.87
1990 07 30    6.85
1990 07 31    5.65
1990 08 01    5.20
1990 08 02    5.88
1990 08 03    5.83
1990 08 04    5.64
1990 08 05    5.29
1990 08 06    6.19
1990 08 07    5.83
1990 08 08    4.14
1990 08 09    5.18
1990 08 10    5.12
1990 08 11    5.26
1990 08 12    5.45
1990 08 13    4.95
1990 08 14    6.09
1990 08 15    7.37
1990 08 16    7.42
1990 08 17    6.96
1990 08 18    6.86
1990 08 19    7.38
1990 08 20    6.77
1990 08 21    7.96
1990 08 22    4.82
1990 08 23    4.28
1990 08 24    6.06
1990 08 25    7.22
1990 08 26    7.59
1990 08 27    7.42
1990 08 28    5.81
1990 08 29    6.37
1990 08 30    7.00
1990 08 31    6.68
1990 09 01    6.87
1990 09 02    6.33
1990 09 03    6.80
1990 09 04    5.61
1990 09 05    6.46
1990 09 06    6.49
1990 09 07    6.70
1990 09 08    6.83
1990 09 09    6.81
1990 09 10    4.93
1990 09 11    5.97
1990 09 12    6.55
1990 09 13    6.34
1990 09 14    6.42
1990 09 15    6.39
