lon,lat
-121.85,39.79
-121.85,39.89
-121.85,39.98
-121.85,40.08
-121.85,40.18
-121.85,40.37
-121.85,40.46
-121.85,40.56
-121.85,40.66
-121.85,40.75
-121.85,40.85
-121.85,40.94
-121.85,41.04
-121.85,41.14
-121.85,41.23
-121.85,41.33
-121.85,41.42
-121.85,41.52
-121.85,41.62
-121.85,41.71
-121.85,41.81
-121.85,41.9
-121.85,42
-121.74,36.34
-121.74,36.43
-121.74,36.53
-121.74,36.63
-121.74,36.72
-121.74,36.82
-121.74,36.91
-121.74,37.01
-121.74,37.11
-121.74,37.2
-121.74,37.3
-121.74,37.39
-121.74,37.49
-121.74,37.59
-121.74,37.68
-121.74,37.78
-121.74,37.87
-121.74,37.97
-121.74,38.07
-121.74,38.16
-121.74,38.26
-121.74,38.35
-121.74,38.45
-121.74,38.55
-121.74,38.64
-121.74,38.74
-121.74,38.83
-121.74,38.93
-121.74,39.03
-121.74,39.12
-121.74,39.22
-121.74,39.31
-121.74,39.41
-121.74,39.51
-121.74,39.6
-121.74,39.7
-121.74,39.79
-121.74,39.89
-121.74,39.98
-121.74,40.08
-121.74,40.27
-121.74,40.37
-121.74,40.46
-121.74,40.56
-121.74,40.66
-121.74,40.75
-121.74,40.85
-121.74,40.94
-121.74,41.04
-121.74,41.14
-121.74,41.23
-121.74,41.33
-121.74,41.42
-121.74,41.52
-121.74,41.62
-121.74,41.71
-121.74,41.81
-121.74,41.9
-121.74,42
-121.64,36.15
-121.64,36.24
-121.64,36.34
-121.64,36.43
-121.64,36.53
-121.64,36.63
-121.64,36.72
-121.64,36.82
-121.64,36.91
-121.64,37.01
-121.64,37.11
-121.64,37.2
-121.64,37.3
-121.64,37.39
-121.64,37.49
-121.64,37.59
-121.64,37.68
-121.64,37.78
-121.64,37.87
-121.64,37.97
-121.64,38.07
-121.64,38.16
-121.64,38.26
-121.64,38.35
-121.64,38.45
-121.64,38.55
-121.64,38.64
-121.64,38.74
-121.64,38.83
-121.64,38.93
-121.64,39.03
-121.64,39.12
-121.64,39.22
-121.64,39.31
-121.64,39.41
-121.64,39.51
-121.64,39.6
-121.64,39.7
-121.64,39.89
-121.64,39.98
-121.64,40.08
-121.64,40.18
-121.64,40.27
-121.64,40.37
-121.64,40.46
-121.64,40.56
-121.64,40.66
-121.64,40.75
-121.64,40.85
-121.64,40.94
-121.64,41.04
-121.64,41.14
-121.64,41.23
-121.64,41.33
-121.64,41.42
-121.64,41.52
-121.64,41.62
-121.64,41.71
-121.64,41.81
-121.64,41.9
-121.64,42
-121.53,36.05
-121.53,36.15
-121.53,36.24
-121.53,36.34
-121.53,36.43
-121.53,36.53
-121.53,36.63
-121.53,36.72
-121.53,36.82
-121.53,36.91
-121.53,37.01
-121.53,37.11
-121.53,37.2
-121.53,37.3
-121.53,37.39
-121.53,37.49
-121.53,37.59
-121.53,37.68
-121.53,37.78
-121.53,37.87
-121.53,37.97
-121.53,38.07
-121.53,38.16
-121.53,38.26
-121.53,38.35
-121.53,38.45
-121.53,38.55
-121.53,38.64
-121.53,38.74
-121.53,38.83
-121.53,38.93
-121.53,39.03
-121.53,39.12
-121.53,39.22
-121.53,39.31
-121.53,39.41
-121.53,39.51
-121.53,39.6
-121.53,39.7
-121.53,39.79
-121.53,39.89
-121.53,40.08
-121.53,40.18
-121.53,40.27
-121.53,40.37
-121.53,40.46
-121.53,40.56
-121.53,40.66
-121.53,40.75
-121.53,40.85
-121.53,40.94
-121.53,41.04
-121.53,41.14
-121.53,41.23
-121.53,41.33
-121.53,41.42
-121.53,41.52
-121.53,41.62
-121.53,41.71
-121.53,41.81
-121.53,41.9
-121.53,42
-121.42,35.95
-121.42,36.05
-121.42,36.15
-121.42,36.24
-121.42,36.34
-121.42,36.43
-121.42,36.53
-121.42,36.63
-121.42,36.72
-121.42,36.82
-121.42,36.91
-121.42,37.01
-121.42,37.11
-121.42,37.2
-121.42,37.3
-121.42,37.39
-121.42,37.49
-121.42,37.59
-121.42,37.68
-121.42,37.78
-121.42,37.87
-121.42,37.97
-121.42,38.07
-121.42,38.16
-121.42,38.26
-121.42,38.35
-121.42,38.45
-121.42,38.55
-121.42,38.64
-121.42,38.74
-121.42,38.83
-121.42,38.93
-121.42,39.03
-121.42,39.12
-121.42,39.22
-121.42,39.31
-121.42,39.41
-121.42,39.51
-121.42,39.6
-121.42,39.7
-121.42,39.79
-121.42,39.89
-121.42,39.98
-121.42,40.08
-121.42,40.18
-121.42,40.27
-121.42,40.37
-121.42,40.46
-121.42,40.56
-121.42,40.66
-121.42,40.75
-121.42,40.85
-121.42,40.94
-121.42,41.04
-121.42,41.14
-121.42,41.23
-121.42,41.33
-121.42,41.42
-121.42,41.52
-121.42,41.62
-121.42,41.71
-121.42,41.81
-121.42,41.9
-121.32,35.86
-121.32,35.95
-121.32,36.05
-121.32,36.15
-121.32,36.24
-121.32,36.34
-121.32,36.43
-121.32,36.53
-121.32,36.63
-121.32,36.72
-121.32,36.82
-121.32,36.91
-121.32,37.01
-121.32,37.11
-121.32,37.2
-121.32,37.3
-121.32,37.39
-121.32,37.49
-121.32,37.59
-121.32,37.68
-121.32,37.78
-121.32,37.87
-121.32,37.97
-121.32,38.07
-121.32,38.16
-121.32,38.26
-121.32,38.35
-121.32,38.45
-121.32,38.55
-121.32,38.64
-121.32,38.74
-121.32,38.83
-121.32,38.93
-121.32,39.03
-121.32,39.12
-121.32,39.22
-121.32,39.31
-121.32,39.41
-121.32,39.51
-121.32,39.6
-121.32,39.7
-121.32,39.79
-121.32,39.89
-121.32,39.98
-121.32,40.08
-121.32,40.18
-121.32,40.27
-121.32,40.37
-121.32,40.46
-121.32,40.56
-121.32,40.66
-121.32,40.75
-121.32,40.85
-121.32,40.94
-121.32,41.04
-121.32,41.14
-121.32,41.23
-121.32,41.33
-121.32,41.42
-121.32,41.52
-121.32,41.62
-121.32,41.71
-121.32,41.81
-121.21,35.76
-121.21,35.86
-121.21,35.95
-121.21,36.05
-121.21,36.15
-121.21,36.24
-121.21,36.43
-121.21,36.53
-121.21,36.63
-121.21,36.72
-121.21,36.82
-121.21,36.91
-121.21,37.01
-121.21,37.11
-121.21,37.2
-121.21,37.3
-121.21,37.39
-121.21,37.49
-121.21,37.59
-121.21,37.68
-121.21,37.78
-121.21,37.87
-121.21,37.97
-121.21,38.07
-121.21,38.16
-121.21,38.26
-121.21,38.35
-121.21,38.45
-121.21,38.55
-121.21,38.64
-121.21,38.74
-121.21,38.83
-121.21,38.93
-121.21,39.12
-121.21,39.22
-121.21,39.31
-121.21,39.41
-121.21,39.51
-121.21,39.6
-121.21,39.7
-121.21,39.79
-121.21,39.89
-121.21,40.08
-121.21,40.18
-121.21,40.27
-121.21,40.37
-121.21,40.46
-121.21,40.66
-121.21,40.75
-121.21,40.85
-121.21,40.94
-121.21,41.04
-121.21,41.14
-121.21,41.23
-121.21,41.33
-121.21,41.52
-121.21,41.62
-121.21,41.71
-121.11,35.67
-121.11,35.76
-121.11,35.86
-121.11,35.95
-121.11,36.05
-121.11,36.15
-121.11,36.24
-121.11,36.34
-121.11,36.43
-121.11,36.53
-121.11,36.63
-121.11,36.72
-121.11,36.82
-121.11,36.91
-121.11,37.01
-121.11,37.11
-121.11,37.2
-121.11,37.3
-121.11,37.39
-121.11,37.49
-121.11,37.68
-121.11,37.78
-121.11,37.87
-121.11,37.97
-121.11,38.07
-121.11,38.16
-121.11,38.26
-121.11,38.35
-121.11,38.45
-121.11,38.55
-121.11,38.64
-121.11,38.74
-121.11,38.93
-121.11,39.03
-121.11,39.12
